customerid,gender,age,annual_income_k,spending_score_1_100,joindate,lastpurchasedate,country,email_clean,email_valid,purchasecount,churn_flag,annual_income_k_capped,joindate_clean,lastpurchasedate_clean
1052,Female,38,75.0,81,2019-08-16,2020-03-29,United Arab Emirates,user5254@yahoo.com,True,3,1,75.0,16-08-2019,29-03-2020
1086,Male,47,104.34,37,2018-05-29,2020-11-16,United Kingdom,user1201@company.co,True,1,0,104.34,29-05-2018,16-11-2020
1095,Unknown,33,28.95,45,2018-12-22,2018-12-22,India,user4330@yahoo.com,True,1,0,28.95,22-12-2018,22-12-2018
1076,Male,34,51.93,22,2022-09-06,2022-09-06,United Kingdom,user2293@gmail.com,True,0,1,51.93,06-09-2022,06-09-2022
1021,,57,43.99,49,2022-10-29,2023-04-08,India,user8798@hotmail.com,True,3,1,43.99,29-10-2022,08-04-2023
1109,Female,19,44.47,55,2019-09-11,2021-08-21,India,user7158@example.com,True,3,0,44.47,11-09-2019,21-08-2021
1055,Male,39,7.11,58,2020-02-04,2020-09-16,United Kingdom,user3682@gmail.com,True,0,0,7.11,04-02-2020,16-09-2020
1091,Unknown,27,54.81,32,2021-10-07,2024-12-01,India,user2968@hotmail.com,True,2,1,54.81,07-10-2021,01-12-2024
1096,Male,31,88.43,43,2018-05-22,2020-12-16,United States,user2219@example.com,True,2,1,88.43,22-05-2018,16-12-2020
1065,Male,34,132.0,49,2018-09-10,2020-02-20,United Kingdom,user7497@yahoo.com,True,2,0,132.0,10-09-2018,20-02-2020
1094,Female,45,53.8,32,2020-11-23,2022-05-13,United Kingdom,user1076@hotmail.com,True,0,1,53.8,23-11-2020,13-05-2022
1083,Male,19,38.87,14,2021-02-20,2021-02-20,United States,user3023@yahoo.com,True,2,0,38.87,20-02-2021,20-02-2021
1060,Male,35,68.79,32,2020-02-16,2021-08-02,United States,user1342example.com,False,0,0,68.79,16-02-2020,02-08-2021
1088,Female,44,72.76,25,2020-02-01,2020-04-13,United Kingdom,user7710@gmail.com,True,2,0,72.76,01-02-2020,13-04-2020
1011,,50,60.55,91,2020-03-15,2021-07-04,United States,user373@hotmail.com,True,2,0,60.55,15-03-2020,04-07-2021
1096,Female,29,66.23,72,2021-10-13,2023-09-01,United Arab Emirates,user1480example.com,False,0,0,66.23,13-10-2021,01-09-2023
1028,Female,51,101.77,27,2021-07-20,2021-07-20,United Arab Emirates,user5086@yahoo.com,True,2,0,101.77,20-07-2021,20-07-2021
