CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),JoinDate,Country,Email,PurchaseCount,LastPurchaseDate,Churn
1052,F,38.0,$75k,81.0,16/08/2019,U.A.E,user5254@yahoo.com,3,2020/03/29,1
1086,MALE ,47.0,104.34,37.0,2018-05-29,U.k,user1201@company.co,1,2020-11-16,No
1095,unknown,33.0,28.95,45.0,22-12-2018,India,user4330@yahoo.com,1,,no
1076,M,34.0,51.93,22.0,2022/09/06,UK,user2293@gmail.com,0,,yes
1021,,57.0,43.99,49.0,2022-10-29,india,user8798@hotmail.com,3,2023/04/08,Y
1109,f,19.0,44.47,55.0,"September 11, 2019",IN,user7158@example.com,3,21-08-2021,0
1055,m,39.0,7.11,58.0,2020/02/04,United Kingdom,user3682@gmail.com,0,2020-09-16,N
1091,unknown,27.0,54.81,32.0,"October 07, 2021",IN,user2968@hotmail.com,2,12-01-2024,Yes
1096,m,31.0,88.43,43.0,2018/05/22,us,user2219@example.com,2,2020/12/16,yes
1065,male,34.0,$132k,49.0,09/10/2018,U.k,user7497@yahoo.com,2,"February 20, 2020",
1094,FEMALE,45.0,53.8,32.0,"November 23, 2020",UK,user1076@hotmail.com,0,13-05-2022,Y
1083,male,19.0,38.87,14.0,2021/02/20,United States,user3023@yahoo.com,2,,FALSE
1060,M,,68.79,32.0,"February 16, 2020",us,user1342example.com,0,08/02/2021,
1088,female,44.0,72.76,25.0,"February 01, 2020",United Kingdom,user7710@gmail.com,2,2020/04/13,No
1011,,50.0,60.55,91.0,15-03-2020,United States,user373@hotmail.com,2,07/04/2021,No
1096,female,29.0,66.23,72.0,2021/10/13,united arab emirates,user1480example.com,0,"September 01, 2023",FALSE
1028,f,51.0,101.77,27.0,20-07-2021,united arab emirates,user5086@yahoo.com,2,,no
1080,,33.0,91.87,1.0,22/04/2018,U.S.A,user7752@hotmail.com,1,2018-12-05,0
1106,M,15.0,56.31,48.0,22/05/2020,U.S.A,user5777@company.co,0,2023-01-17,N
1027,,38.0,19.66,58.0,13/11/2018,united arab emirates,user6756@gmail.com,1,08/01/2020,1
1066,M,40.0,62.3,17.0,22-10-2019,us,user4068@hotmail.com,2,23/01/2022,Yes
1048,female,37.0,139.31,44.0,2021/04/01,United States,user6224@company.co,6,"March 03, 2023",1
1105,FEMALE,43.0,60.55,58.0,27/09/2020,India,user3614hotmail.com,1,2022/12/05,FALSE
1091,M,,73.45,53.0,"September 23, 2022",U.k,user1195@hotmail.com,3,06-12-2024,Yes
1091,,,$48k,64.0,18/11/2020,United Kingdom,user2168@company.co,2,08/01/2022,N
1102,f,54.0,25.61,57.0,"August 19, 2021",India,user2317gmail.com,1,2023-03-02,1
1057,MALE ,30.0,34.99,32.0,2022/08/25,U.k,user3696@yahoo.com,3,,Y
1060,Female,22.0,65.09,52.0,"August 01, 2021",United States,user2189@example.com,1,30-09-2022,no
1078,M,39.0,116.29,73.0,13/03/2020,india,user6172@hotmail.com,1,08-04-2022,N
1079,male,35.0,62.99,37.0,2018-10-30,united arab emirates,user6966@yahoo.com,1,20-12-2018,No
1073,m,15.0,49.93,91.0,2022-04-05,us,user7799@gmail.com,1,,yes
